code,tz_type,utc_offset,utc_dst_offset,tz_abbreviation,tz_dst_abbreviation,is_active
Asia/Karachi,Canonical,UTC+05:00,UTC+05:00,PKT,PKT,true
Asia/Kashgar,Link,UTC+06:00,UTC+06:00,+06,+06,false
Asia/Kathmandu,Canonical,UTC+05:45,UTC+05:45,+0545,+0545,true
Asia/Katmandu,Link,UTC+05:45,UTC+05:45,+0545,+0545,true
Asia/Khandyga,Canonical,UTC+09:00,UTC+09:00,+09,+09,true
Asia/Kolkata,Canonical,UTC+05:30,UTC+05:30,IST,IST,true
Asia/Krasnoyarsk,Canonical,UTC+07:00,UTC+07:00,+07,+07,true
Asia/Kuala_Lumpur,Link,UTC+08:00,UTC+08:00,+08,+08,false
Asia/Kuching,Canonical,UTC+08:00,UTC+08:00,+08,+08,true
Asia/Kuwait,Link,UTC+03:00,UTC+03:00,+03,+03,false
Asia/Macao,Link,UTC+08:00,UTC+08:00,CST,CST,true
Asia/Macau,Canonical,UTC+08:00,UTC+08:00,CST,CST,true
Asia/Magadan,Canonical,UTC+11:00,UTC+11:00,+11,+11,true
Asia/Makassar,Canonical,UTC+08:00,UTC+08:00,WITA,WITA,true
Asia/Manila,Canonical,UTC+08:00,UTC+08:00,PST,PST,true
Asia/Muscat,Link,UTC+04:00,UTC+04:00,+04,+04,false
Asia/Nicosia,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Asia/Novokuznetsk,Canonical,UTC+07:00,UTC+07:00,+07,+07,true
Asia/Novosibirsk,Canonical,UTC+07:00,UTC+07:00,+07,+07,true
Asia/Omsk,Canonical,UTC+06:00,UTC+06:00,+06,+06,true
Asia/Oral,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Asia/Phnom_Penh,Link,UTC+07:00,UTC+07:00,+07,+07,false
Asia/Pontianak,Canonical,UTC+07:00,UTC+07:00,WIB,WIB,true
Asia/Pyongyang,Canonical,UTC+09:00,UTC+09:00,KST,KST,true
Asia/Qatar,Canonical,UTC+03:00,UTC+03:00,+03,+03,true
Asia/Qostanay,Canonical,UTC+06:00,UTC+06:00,+06,+06,true
Asia/Qyzylorda,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Asia/Rangoon,Link,UTC+06:30,UTC+06:30,+0630,+0630,true
Asia/Riyadh,Canonical,UTC+03:00,UTC+03:00,+03,+03,true
Asia/Saigon,Link,UTC+07:00,UTC+07:00,+07,+07,true
Asia/Sakhalin,Canonical,UTC+11:00,UTC+11:00,+11,+11,true
Asia/Samarkand,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Asia/Seoul,Canonical,UTC+09:00,UTC+09:00,KST,KST,true
Asia/Shanghai,Canonical,UTC+08:00,UTC+08:00,CST,CST,true
Asia/Singapore,Canonical,UTC+08:00,UTC+08:00,+08,+08,true
Asia/Srednekolymsk,Canonical,UTC+11:00,UTC+11:00,+11,+11,true
Asia/Taipei,Canonical,UTC+08:00,UTC+08:00,CST,CST,true
Asia/Tashkent,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Asia/Tbilisi,Canonical,UTC+04:00,UTC+04:00,+04,+04,true
Asia/Tehran,Canonical,UTC+03:30,UTC+03:30,+0330,+0330,true
Asia/Tel_Aviv,Link,UTC+02:00,UTC+03:00,IST,IDT,false
Asia/Thimbu,Link,UTC+06:00,UTC+06:00,+06,+06,true
Asia/Thimphu,Canonical,UTC+06:00,UTC+06:00,+06,+06,true
Asia/Tokyo,Canonical,UTC+09:00,UTC+09:00,JST,JST,true
Asia/Tomsk,Canonical,UTC+07:00,UTC+07:00,+07,+07,true
Asia/Ujung_Pandang,Link,UTC+08:00,UTC+08:00,WITA,WITA,true
Asia/Ulaanbaatar,Canonical,UTC+08:00,UTC+08:00,+08,+08,true
